"","list_name","name","label_english","label_french","filter_admin1","filter_admin2","filter_admin3","filter_admin4"
"1","l_survey_modality","remote","Remote","A distance",NA,NA,NA,NA
"2","l_survey_modality","in_person","In person","En personne",NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4","l_enum_id","id_1","id_1","id_1",NA,NA,NA,NA
"5","l_enum_id","id_2","id_2","id_2",NA,NA,NA,NA
"6","l_enum_id","id_3","id_3","id_3",NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA
"8","l_gender","male","Male / man","Masculin / homme",NA,NA,NA,NA
"9","l_gender","female","Female / woman","Féminin / femme",NA,NA,NA,NA
"10","l_gender","other","Other","Autre",NA,NA,NA,NA
"11","l_gender","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13","l_admin1","PCODE1","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"14","l_admin1","PCODE2","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16","l_admin2","PCODE11","To be updated by country","À mettre à jour par le pays","PCODE1",NA,NA,NA
"17","l_admin2","PCODE12","To be updated by country","À mettre à jour par le pays","PCODE1",NA,NA,NA
"18","l_admin2","PCODE21","To be updated by country","À mettre à jour par le pays","PCODE2",NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20","l_admin3","PCODE111","To be updated by country","À mettre à jour par le pays",NA,"PCODE11",NA,NA
"21","l_admin3","PCODE121","To be updated by country","À mettre à jour par le pays",NA,"PCODE12",NA,NA
"22","l_admin3","PCODE211","To be updated by country","À mettre à jour par le pays",NA,"PCODE21",NA,NA
"23","l_admin3","PCODE212","To be updated by country","À mettre à jour par le pays",NA,"PCODE21",NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"25","l_admin4","PCODE1111","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE111",NA
"26","l_admin4","PCODE1211","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE121",NA
"27","l_admin4","PCODE2111","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE211",NA
"28","l_admin4","PCODE2121","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE212",NA
"29",NA,NA,NA,NA,NA,NA,NA,NA
"30","l_cluster_id","cluster_1","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE111",NA
"31","l_cluster_id","cluster_2","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE121",NA
"32","l_cluster_id","cluster_3","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE211",NA
"33","l_cluster_id","cluster_4","To be updated by country","À mettre à jour par le pays",NA,NA,"PCODE212",NA
"34",NA,NA,NA,NA,NA,NA,NA,NA
"35","l_yn","yes","Yes","Oui",NA,NA,NA,NA
"36","l_yn","no","No","Non",NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA
"38","l_yn_dnk_pnta","yes","Yes","Oui",NA,NA,NA,NA
"39","l_yn_dnk_pnta","no","No","Non",NA,NA,NA,NA
"40","l_yn_dnk_pnta","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"41","l_yn_dnk_pnta","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA
"43","l_setting","rural","Rural","Rurale",NA,NA,NA,NA
"44","l_setting","urban","Urban or Peri-Urban","Urbain ou périurbain",NA,NA,NA,NA
"45","l_setting","camp","Formal or non-formal camp or site setting","Camp ou site formel ou non formel",NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA
"47","l_ind_age_under1","0","0","0",NA,NA,NA,NA
"48","l_ind_age_under1","1","1","1",NA,NA,NA,NA
"49","l_ind_age_under1","2","2","2",NA,NA,NA,NA
"50","l_ind_age_under1","3","3","3",NA,NA,NA,NA
"51","l_ind_age_under1","4","4","4",NA,NA,NA,NA
"52","l_ind_age_under1","5","5","5",NA,NA,NA,NA
"53","l_ind_age_under1","6","6","6",NA,NA,NA,NA
"54","l_ind_age_under1","7","7","7",NA,NA,NA,NA
"55","l_ind_age_under1","8","8","8",NA,NA,NA,NA
"56","l_ind_age_under1","9","9","9",NA,NA,NA,NA
"57","l_ind_age_under1","10","10","10",NA,NA,NA,NA
"58","l_ind_age_under1","11","11","11",NA,NA,NA,NA
"59","l_ind_age_under1","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA
"61","l_edu_level_grade","level1_grade1","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"62","l_edu_level_grade","level1_grade2","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"63","l_edu_level_grade","level2_grade_1","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"64","l_edu_level_grade","level2_grade_2","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"65","l_edu_level_grade","level2_grade_3","To be updated by country","À mettre à jour par le pays",NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA
"67","l_edu_barrier","costs","Cannot afford the direct costs of education (e.g. tuition, supplies, transportation)","Impossibilité de payer les coûts directs de l'éducation (par exemple, les frais de scolarité, les fournitures, le transport)",NA,NA,NA,NA
"68","l_edu_barrier","lack_interest","There is a lack of interest/Education is not a priority either for the child or the household","Manque d'intérêt / L'éducation n'est pas une priorité pour l'enfant ou le ménage",NA,NA,NA,NA
"69","l_edu_barrier","lack_accessible_school","Lack of appropriate and accessible school","Absence d'école appropriée et accessible",NA,NA,NA,NA
"70","l_edu_barrier","lack_classrooms","School does not have enough classrooms that are usable","L'école ne dispose pas d'un nombre suffisant de salles de classe utilisables",NA,NA,NA,NA
"71","l_edu_barrier","lack_wash_facilities","School's WASH facilities are in poor condition or not available","Les installations d'eau, hygiène et assainissement de l'école sont en mauvais état ou ne sont pas disponibles",NA,NA,NA,NA
"72","l_edu_barrier","school_closed","School has been closed due to damage, natural disaster, conflict","L'école a été fermée en raison de dommages, d'une catastrophe naturelle ou d'un conflit.",NA,NA,NA,NA
"73","l_edu_barrier","lack_teacher","Lack of or poor quality of teachers","Manque d'enseignants ou qualité médiocre des enseignants",NA,NA,NA,NA
"74","l_edu_barrier","curriculum_not_useful","Curriculum and/or the certificates issued by school are not perceived to be useful for the household","Le programme scolaire et/ou les certificats délivrés par l'école ne sont pas perçus comme utiles pour le ménage.",NA,NA,NA,NA
"75","l_edu_barrier","protection_at_school","Protection risks whilst at the school","Risques de protection à l'école",NA,NA,NA,NA
"76","l_edu_barrier","protection_travel_school","Protection risks whilst travelling to the school","Risques de protection pendant le trajet vers l'école",NA,NA,NA,NA
"77","l_edu_barrier","child_work_home","Child needs to work at home or on the household's own farm (i.e. is not earning an income for these activities, but may allow other family members to earn an income)","L'enfant doit travailler à la maison ou dans la ferme du ménage (c'est-à-dire qu'il ne gagne pas de revenu pour ces activités, mais peut permettre à d'autres membres de la famille de gagner un revenu)",NA,NA,NA,NA
"78","l_edu_barrier","child_work_outside","Child participating in income generating activities outside of the home","L'enfant participe à des activités génératrices de revenus en dehors du foyer",NA,NA,NA,NA
"79","l_edu_barrier","child_armed_group","Child is associated with armed forces or armed groups","L'enfant est associé à des forces armées ou à des groupes armés",NA,NA,NA,NA
"80","l_edu_barrier","child_marriage","Marriage, engagement and/or pregnancy","Mariage, fiançailles et/ou grossesse",NA,NA,NA,NA
"81","l_edu_barrier","child_health","The child's disability or health issues prevents them from accessing school","Le handicap ou les problèmes de santé de l'enfant l'empêchent d'aller à l'école",NA,NA,NA,NA
"82","l_edu_barrier","language","Language issues","Problèmes de langue",NA,NA,NA,NA
"83","l_edu_barrier","ban","There is a ban preventing child from attending","Une interdiction empêche l'enfant d'aller à l'école",NA,NA,NA,NA
"84","l_edu_barrier","enroll_lack_documentation","Unable to enroll in school due to lack of documentation","Impossibilité de s'inscrire à l'école en raison d'un manque de documents",NA,NA,NA,NA
"85","l_edu_barrier","enroll_displacement","Unable to enroll in school due to recent displacement/return (displacement since after the start of the school year)","Impossibilité de s'inscrire à l'école en raison d'un déplacement/retour récent (déplacement après le début de l'année scolaire)",NA,NA,NA,NA
"86","l_edu_barrier","discrimination","Discrimination or stigmatization of the child for any reason","Discrimination ou stigmatisation de l'enfant pour quelque raison que ce soit",NA,NA,NA,NA
"87","l_edu_barrier","child_graduated","The child has already graduated from secondary education.","L'enfant est déjà diplômé de l'enseignement secondaire.",NA,NA,NA,NA
"88","l_edu_barrier","other","Other (specify)","Autre (préciser)",NA,NA,NA,NA
"89","l_edu_barrier","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"90","l_edu_barrier","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"91",NA,NA,NA,NA,NA,NA,NA,NA
"92","l_fsl_hhs","rarely","Rarely (1-2 times)","Rarement (1-2 fois)",NA,NA,NA,NA
"93","l_fsl_hhs","sometimes","Sometimes (3-10 times)","Parfois (3-10 fois)",NA,NA,NA,NA
"94","l_fsl_hhs","often","Often (10+ times)","Souvent (10+ fois)",NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA
"96","l_fsl_source_food","own_production","Own production","Propre production",NA,NA,NA,NA
"97","l_fsl_source_food","purchase_cash","Purchased (exl. CVA) with cash","Achat (hors aide en espèces et en coupons) avec de l'argent liquide",NA,NA,NA,NA
"98","l_fsl_source_food","purchase_credit","Purchased with credit","Achat à crédit",NA,NA,NA,NA
"99","l_fsl_source_food","hunting","Hunting, fishing","Chasse, pêche",NA,NA,NA,NA
"100","l_fsl_source_food","gathering","Gathering","Cueillette",NA,NA,NA,NA
"101","l_fsl_source_food","exchange","Exchange for labor or items","Échange contre du travail ou des articles",NA,NA,NA,NA
"102","l_fsl_source_food","borrow","Borrowed","Emprunté",NA,NA,NA,NA
"103","l_fsl_source_food","gift","Gift from family and/or friends","Cadeau de la famille et/ou des amis",NA,NA,NA,NA
"104","l_fsl_source_food","begging","Begging","Mendicité",NA,NA,NA,NA
"105","l_fsl_source_food","assistance_in_kind","In-kind food aid","Aide alimentaire en nature",NA,NA,NA,NA
"106","l_fsl_source_food","assistance_cva","CVA (cash and voucher assistance)","Aide en espèces et en coupons (CVA)",NA,NA,NA,NA
"107","l_fsl_source_food","other","Other (specify)","Autre (précisez)",NA,NA,NA,NA
"108","l_fsl_source_food","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"109","l_fsl_source_food","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"110",NA,NA,NA,NA,NA,NA,NA,NA
"111","l_fsl_lcsi","yes","Yes","Oui",NA,NA,NA,NA
"112","l_fsl_lcsi","no_had_no_need","No, had no need to use this coping strategy","Non, je n'ai pas eu besoin d'utiliser cette stratégie d'adaptation",NA,NA,NA,NA
"113","l_fsl_lcsi","no_exhausted","No, have already exhausted this coping strategy and cannot use it again","Non, j'ai déjà épuisé cette stratégie d'adaptation et je ne peux plus l'utiliser",NA,NA,NA,NA
"114","l_fsl_lcsi","not_applicable","Not applicable / This coping strategy is not available to me","Non pertinent / je ne dispose pas de cette stratégie d'adaptation",NA,NA,NA,NA
"115",NA,NA,NA,NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA,NA,NA,NA
"117","l_fsl_lcsi_other","none","No other reason","Pas d'autres raisons",NA,NA,NA,NA
"118","l_fsl_lcsi_other","healthcare","To access or pay for healthcare","Accéder ou payer les soins de santé",NA,NA,NA,NA
"119","l_fsl_lcsi_other","shelter","To access or pay for shelter","Accéder ou payer le logement",NA,NA,NA,NA
"120","l_fsl_lcsi_other","education","To access or pay for education","Accéder ou payer l'éducation",NA,NA,NA,NA
"121","l_fsl_lcsi_other","other","Other (specify)","Autre (merci de préciser)",NA,NA,NA,NA
"122","l_fsl_lcsi_other","pnta","Prefer not to answer","Ne sait pas",NA,NA,NA,NA
"123","l_fsl_lcsi_other","dnk","Don´t know","Préfère ne pas répondre",NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA
"125","l_fsl_lcsi_en_other","food","To access or pay for food","Accéder ou payer de la nourriture",NA,NA,NA,NA
"126","l_fsl_lcsi_en_other","healthcare","To access or pay for healthcare","Accéder ou payer les soins de santé",NA,NA,NA,NA
"127","l_fsl_lcsi_en_other","shelter","To access or pay for shelter","Accéder ou payer le logement",NA,NA,NA,NA
"128","l_fsl_lcsi_en_other","education","To access or pay for education","Accéder ou payer l'éducation",NA,NA,NA,NA
"129","l_fsl_lcsi_en_other","other","Other (specify)","Autre (merci de préciser)",NA,NA,NA,NA
"130","l_fsl_lcsi_en_other","pnta","Prefer not to answer","Ne sait pas",NA,NA,NA,NA
"131","l_fsl_lcsi_en_other","dnk","Don´t know","Préfère ne pas répondre",NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA
"133","l_cm_income_source","salaried","1. Salaried work",NA,NA,NA,NA,NA
"134","l_cm_income_source","casual","2. Casual or daily labour",NA,NA,NA,NA,NA
"135","l_cm_income_source","own_business","3. Income from own business or regular trade",NA,NA,NA,NA,NA
"136","l_cm_income_source","own_production","4. Income from own production (agriculture, livestock, fishing, food processing, home manufacture, etc.)",NA,NA,NA,NA,NA
"137","l_cm_income_source","social_benefits","5. Government social benefits or assistance",NA,NA,NA,NA,NA
"138","l_cm_income_source","rent","6. Income from rent",NA,NA,NA,NA,NA
"139","l_cm_income_source","remittances","7. Remittances",NA,NA,NA,NA,NA
"140","l_cm_income_source","assistance","8. Humanitarian assistance",NA,NA,NA,NA,NA
"141","l_cm_income_source","support_friends","9. Loans or support from family and friends (not including remittances)",NA,NA,NA,NA,NA
"142","l_cm_income_source","donation","10. Loans, support, or charitable donations from community members (not including humanitarian assistance)",NA,NA,NA,NA,NA
"143","l_cm_income_source","other","11. Other (please specify)",NA,NA,NA,NA,NA
"144","l_cm_income_source","none","12. My household did not receive any monetary income over the last 30 days",NA,NA,NA,NA,NA
"145","l_cm_income_source","dnk","13. Don't know",NA,NA,NA,NA,NA
"146","l_cm_income_source","pnta","14. Prefer not to answer",NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA,NA,NA,NA
"148","l_nut_ind_under5_sick_symptoms","fever","Fever","Fièvre",NA,NA,NA,NA
"149","l_nut_ind_under5_sick_symptoms","diarrhoea","Diarrhoea","Diarrhée",NA,NA,NA,NA
"150","l_nut_ind_under5_sick_symptoms","cough","Cough","Toux",NA,NA,NA,NA
"151","l_nut_ind_under5_sick_symptoms","vomiting","Vomiting","Vomissements",NA,NA,NA,NA
"152","l_nut_ind_under5_sick_symptoms","skin_infection","Skin infection","Infection de la peau",NA,NA,NA,NA
"153","l_nut_ind_under5_sick_symptoms","ear_infection","Ear infection","Infection de l'oreille",NA,NA,NA,NA
"154","l_nut_ind_under5_sick_symptoms","other","Other (specify)","Autre (préciser)",NA,NA,NA,NA
"155","l_nut_ind_under5_sick_symptoms","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"156","l_nut_ind_under5_sick_symptoms","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"157",NA,NA,NA,NA,NA,NA,NA,NA
"158","l_nut_ind_under5_sick_location","none","No treatment sought","Aucun traitement recherché",NA,NA,NA,NA
"159","l_nut_ind_under5_sick_location","gov_hospital","Government hospital","Hôpital public",NA,NA,NA,NA
"160","l_nut_ind_under5_sick_location","gov_center","Government health center","Centre de santé gouvernemental",NA,NA,NA,NA
"161","l_nut_ind_under5_sick_location","gov_post","Government health post","Poste de santé gouvernemental",NA,NA,NA,NA
"162","l_nut_ind_under5_sick_location","gov_other","Other government facility","Autre établissement public",NA,NA,NA,NA
"163","l_nut_ind_under5_sick_location","private_hospital","Private hospital","Hôpital privé",NA,NA,NA,NA
"164","l_nut_ind_under5_sick_location","private_clinic","Private clinic","Clinique privée",NA,NA,NA,NA
"165","l_nut_ind_under5_sick_location","private_other","Other private medical facility","Autre établissement médical privé",NA,NA,NA,NA
"166","l_nut_ind_under5_sick_location","ngo_hospital","NGO hospital","Hôpital d'une ONG",NA,NA,NA,NA
"167","l_nut_ind_under5_sick_location","ngo_clinic","NGO clinic","Clinique d'une ONG",NA,NA,NA,NA
"168","l_nut_ind_under5_sick_location","ngo_other","Other NGO medical facility","Autre établissement médical d'une ONG",NA,NA,NA,NA
"169","l_nut_ind_under5_sick_location","other","Other (specify)","Autre (préciser)",NA,NA,NA,NA
"170","l_nut_ind_under5_sick_location","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"171","l_nut_ind_under5_sick_location","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"172",NA,NA,NA,NA,NA,NA,NA,NA
"173","l_aap_priority_challenge","drinking_water","Lack of access to enough safe water for drinking","Manque d'accès à une quantité suffisante d'eau potable pour la boisson",NA,NA,NA,NA
"174","l_aap_priority_challenge","food","Lack of access to sufficient quantity or quality of food","Manque d'accès à une quantité ou une qualité suffisante de nourriture",NA,NA,NA,NA
"175","l_aap_priority_challenge","shelter_housing","Lack of a suitable living space","Manque d'espace de vie approprié",NA,NA,NA,NA
"176","l_aap_priority_challenge","wash","Lack of easy and safe access to a clean toilet","Manque d'accès facile et sûr à des toilettes propres",NA,NA,NA,NA
"177","l_aap_priority_challenge","hygiene_nfis","Lack of soap, water, or suitable washing place","Manque de savon, d'eau ou d'un endroit approprié pour se laver",NA,NA,NA,NA
"178","l_aap_priority_challenge","non_hygiene_nfis","No access to adequate clothing, footwear, bedding, or blankets","Absence d'accès à des vêtements, chaussures, literie ou couvertures adéquats",NA,NA,NA,NA
"179","l_aap_priority_challenge","livelihoods_support_employment","Lack of (or not enough) income, money, or resources to sustain life","Manque (ou insuffisance) de revenus, d'argent ou de ressources pour assurer sa subsistance",NA,NA,NA,NA
"180","l_aap_priority_challenge","healthcare","Lack of access to adequate healthcare","Manque d'accès à des soins de santé adéquats",NA,NA,NA,NA
"181","l_aap_priority_challenge","psychosocial_support","Feeling very distressed, upset, sad, worried, scared, or angry","Sentiment de grande détresse, de bouleversement, de tristesse, d'inquiétude, de peur ou de colère",NA,NA,NA,NA
"182","l_aap_priority_challenge","protection_safety","Lack of safety or protection for oneself or family due to conflict, violence, or crime","Manque de sécurité ou de protection pour soi-même ou sa famille en raison d'un conflit, de la violence ou de la criminalité",NA,NA,NA,NA
"183","l_aap_priority_challenge","education_children","Children not attending school or receiving insufficient education","Enfants non scolarisés ou recevant une éducation insuffisante",NA,NA,NA,NA
"184","l_aap_priority_challenge","legal_documentation","Lack of access to legal sytem, or no legal rights in the community","Manque d'accès au système juridique ou absence de droits légaux dans la communauté",NA,NA,NA,NA
"185","l_aap_priority_challenge","telecomunication","Lack of means to communicate with relatives or access to essential information via phone, internet, radio, or other means","Absence de moyens de communication avec les proches ou d'accès à des informations essentielles par téléphone, internet, radio ou autres moyens",NA,NA,NA,NA
"186","l_aap_priority_challenge","law_justice","Lack of law and justice in the community","Absence de droit et de justice dans la communauté",NA,NA,NA,NA
"187","l_aap_priority_challenge","women_not_safe","Women don’t feel safe enough in the community","Les femmes ne se sentent pas suffisamment en sécurité dans la communauté",NA,NA,NA,NA
"188","l_aap_priority_challenge","need_to_repay_debt","Need to repay debt","Nécessité de rembourser des dettes",NA,NA,NA,NA
"189","l_aap_priority_challenge","access_to_energy","Inadequate access to energy (lighting, electricity, cooking fuels)","Accès insuffisant à l'énergie (éclairage, électricité, combustibles de cuisson)",NA,NA,NA,NA
"190","l_aap_priority_challenge","none","None","Aucun",NA,NA,NA,NA
"191","l_aap_priority_challenge","other","Other (specify)","Autre (préciser)",NA,NA,NA,NA
"192","l_aap_priority_challenge","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"193","l_aap_priority_challenge","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"194",NA,NA,NA,NA,NA,NA,NA,NA
"195","l_aap_priority_support_ngo","shelter_housing","Shelter / housing","Abri / logement",NA,NA,NA,NA
"196","l_aap_priority_support_ngo","food","Food","Alimentation",NA,NA,NA,NA
"197","l_aap_priority_support_ngo","nutrition_services","Nutrition (e.g. special nutritious foods for child/PLW, infant formula, nutrition supplements)","Nutrition (par exemple, aliments nutritifs spéciaux pour l'enfant/le jeune enfant, lait maternisé, compléments nutritionnels)",NA,NA,NA,NA
"198","l_aap_priority_support_ngo","healthcare","Healthcare","Soins de santé",NA,NA,NA,NA
"199","l_aap_priority_support_ngo","seeds_other_agricultural_inputs","Seeds or other agricultural inputs","Semences ou autres intrants agricoles",NA,NA,NA,NA
"200","l_aap_priority_support_ngo","livelihoods_support_employment","Livelihoods support / employment","Soutien aux moyens de subsistance / emploi",NA,NA,NA,NA
"201","l_aap_priority_support_ngo","drinking_water","Drinking water","Eau potable",NA,NA,NA,NA
"202","l_aap_priority_support_ngo","wash","Sanitation services (e.g. latrine; borehole)","Services d'assainissement (par exemple, latrines, forage)",NA,NA,NA,NA
"203","l_aap_priority_support_ngo","hygiene_nfis","Essential Hygiene items (e.g. soap, sanitary pads)","Articles d'hygiène essentiels (par exemple, savon, serviettes hygiéniques)",NA,NA,NA,NA
"204","l_aap_priority_support_ngo","non_hygiene_nfis","Essential household and personal items (clothes, blanket, cooking items, sleeping items, storing food)","Articles ménagers et personnels essentiels (vêtements, couvertures, articles de cuisine, articles de couchage, stockage de nourriture)",NA,NA,NA,NA
"205","l_aap_priority_support_ngo","telecomunication","Means to communicate with relatives and access essential information (phone credits, better phone network coverage, radio, internet access,…)","Moyens de communiquer avec les proches et d'accéder aux informations essentielles (crédits téléphoniques, meilleure couverture du réseau téléphonique, radio, accès à l'internet,...)",NA,NA,NA,NA
"206","l_aap_priority_support_ngo","need_to_repay_debt","Need to repay debt","Besoin de rembourser une dette",NA,NA,NA,NA
"207","l_aap_priority_support_ngo","education_children","Education for children under 18","Éducation des enfants de moins de 18 ans",NA,NA,NA,NA
"208","l_aap_priority_support_ngo","psychosocial_support","Psychosocial support","Soutien psychosocial",NA,NA,NA,NA
"209","l_aap_priority_support_ngo","protection_safety","Protection / safety","Protection / sécurité",NA,NA,NA,NA
"210","l_aap_priority_support_ngo","legal_documentation","Legal services & Civil Documentation (such as civil id, passport, etc.)","Services juridiques et documents d'état civil (carte d'identité, passeport, etc.)",NA,NA,NA,NA
"211","l_aap_priority_support_ngo","access_to_energy","Access to energy (lighting, electricity, cooking fuels)","Accès à l'énergie (éclairage, électricité, combustibles de cuisson)",NA,NA,NA,NA
"212","l_aap_priority_support_ngo","none","None","Aucun",NA,NA,NA,NA
"213","l_aap_priority_support_ngo","other","Other (specify)","Autre (préciser)",NA,NA,NA,NA
"214","l_aap_priority_support_ngo","dnk","Don't know","Ne sait pas",NA,NA,NA,NA
"215","l_aap_priority_support_ngo","pnta","Prefer not to answer","Préfère ne pas répondre",NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA
